Symbol,Name,Sector,Sec
COL,Rockwell Collins,Industrials,I
ROP,Roper Technologies,Industrials,I
ROST,Ross Stores,Consumer Discretionary,CD
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,CD
SPGI,"S&P Global, Inc.",Financials,FI
CRM,Salesforce.com,Information Technology,IT
SBAC,SBA Communications,Real Estate,RE
SCG,SCANA Corp,Utilities,U
SLB,Schlumberger Ltd.,Energy,E
STX,Seagate Technology,Information Technology,IT
SEE,Sealed Air,Materials,M
SRE,Sempra Energy,Utilities,U
SHW,Sherwin-Williams,Materials,M
SPG,Simon Property Group Inc,Real Estate,RE
SWKS,Skyworks Solutions,Information Technology,IT
SLG,SL Green Realty,Real Estate,RE
SNA,Snap-On Inc.,Consumer Discretionary,CD
SO,Southern Co.,Utilities,U
LUV,Southwest Airlines,Industrials,I
SWK,Stanley Black & Decker,Consumer Discretionary,CD
SBUX,Starbucks Corp.,Consumer Discretionary,CD
STT,State Street Corp.,Financials,FI
SRCL,Stericycle Inc,Industrials,I
SYK,Stryker Corp.,Health Care,H
STI,SunTrust Banks,Financials,FI
SIVB,SVB Financial,Financials,FI
SYMC,Symantec Corp.,Information Technology,IT
SYF,Synchrony Financial,Financials,FI
SNPS,Synopsys Inc.,Information Technology,IT
SYY,Sysco Corp.,Consumer Staples,CS
TROW,T. Rowe Price Group,Financials,FI
TTWO,Take-Two Interactive,Information Technology,IT
TPR,"Tapestry, Inc.",Consumer Discretionary,CD
TGT,Target Corp.,Consumer Discretionary,CD
TEL,TE Connectivity Ltd.,Information Technology,IT
FTI,TechnipFMC,Energy,E
TXN,Texas Instruments,Information Technology,IT
TXT,Textron Inc.,Industrials,I
BK,The Bank of New York Mellon Corp.,Financials,FI
CLX,The Clorox Company,Consumer Staples,CS
COO,The Cooper Companies,Health Care,H
HSY,The Hershey Company,Consumer Staples,CS
MOS,The Mosaic Company,Materials,M
TRV,The Travelers Companies Inc.,Financials,FI
DIS,The Walt Disney Company,Consumer Discretionary,CD
TMO,Thermo Fisher Scientific,Health Care,H
TIF,Tiffany & Co.,Consumer Discretionary,CD
TWX,Time Warner Inc.,Consumer Discretionary,CD
TJX,TJX Companies Inc.,Consumer Discretionary,CD
TMK,Torchmark Corp.,Financials,FI
TSS,Total System Services,Information Technology,IT
TSCO,Tractor Supply Company,Consumer Discretionary,CD
TDG,TransDigm Group,Industrials,I
TRIP,TripAdvisor,Consumer Discretionary,CD
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,CD
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,CD
TSN,Tyson Foods,Consumer Staples,CS
USB,U.S. Bancorp,Financials,FI
UDR,UDR Inc,Real Estate,RE
ULTA,Ulta Beauty,Consumer Discretionary,CD
UAA,Under Armour Class A,Consumer Discretionary,CD
UA,Under Armour Class C,Consumer Discretionary,CD
UNP,Union Pacific,Industrials,I
UAL,United Continental Holdings,Industrials,I
UNH,United Health Group Inc.,Health Care,H
UPS,United Parcel Service,Industrials,I
URI,"United Rentals, Inc.",Industrials,I
UTX,United Technologies,Industrials,I
UHS,"Universal Health Services, Inc.",Health Care,H
UNM,Unum Group,Financials,FI
VFC,V.F. Corp.,Consumer Discretionary,CD
VLO,Valero Energy,Energy,E
VAR,Varian Medical Systems,Health Care,H
VTR,Ventas Inc,Real Estate,RE
VRSN,Verisign Inc.,Information Technology,IT
VRSK,Verisk Analytics,Industrials,I
VZ,Verizon Communications,Telecommunication Services,T
VRTX,Vertex Pharmaceuticals Inc,Health Care,H
VIAB,Viacom Inc.,Consumer Discretionary,CD
V,Visa Inc.,Information Technology,IT
VNO,Vornado Realty Trust,Real Estate,RE
VMC,Vulcan Materials,Materials,M
WMT,Wal-Mart Stores,Consumer Staples,CS
WBA,Walgreens Boots Alliance,Consumer Staples,CS
WM,Waste Management Inc.,Industrials,I
WAT,Waters Corporation,Health Care,H
WEC,Wec Energy Group Inc,Utilities,U
WFC,Wells Fargo,Financials,FI
WELL,Welltower Inc.,Real Estate,RE
WDC,Western Digital,Information Technology,IT
WU,Western Union Co,Information Technology,IT
WRK,WestRock Company,Materials,M
WY,Weyerhaeuser Corp.,Real Estate,RE
WHR,Whirlpool Corp.,Consumer Discretionary,CD
WMB,Williams Cos.,Energy,E
WLTW,Willis Towers Watson,Financials,FI
WYN,Wyndham Worldwide,Consumer Discretionary,CD
WYNN,Wynn Resorts Ltd,Consumer Discretionary,CD
XEL,Xcel Energy Inc,Utilities,U
XRX,Xerox Corp.,Information Technology,IT
XLNX,Xilinx Inc,Information Technology,IT
XL,XL Capital,Financials,FI
XYL,Xylem Inc.,Industrials,I
YUM,Yum! Brands Inc,Consumer Discretionary,CD
ZBH,Zimmer Biomet Holdings,Health Care,H
ZION,Zions Bancorp,Financials,FI
ZTS,Zoetis,Health Care,H
